Text,Score
سيكون موسم 2022–23 أول موسم يأخذ إجازة لمدة ستة أسابيع بين نوفمبر وديسمبر 2022 للسماح بأول كأس عالم شتوي،مع عودة مباريات يوم الملاكمة.,10.0
كرة القدمهيرياضة جماعيةتُلعب بين فريقين يتكون كل منهما من أحد عشر لاعبًا تلعب بكرة مُكوَّرة. يلعب كرة القدم 250 مليون لاعب في أكثر من مائتيدولةحول العالم، ف لذلك تكونالرياضةالأكثر شعبية وانتشارًا في العالم.تُلعب كرة القدم في ملعب مستطيل الشكل مع مرميين في جانبيه. الهدف من اللعبة هو إحراز الأهداف بركل الكرة داخل المرمى.,10.0
حارس المرمىهو اللاعب الوحيد الذي يُسمح له أن يلمس الكرة بيديه أو ذراعيه، بشرط أن يكون داخلمنطقة الجزاء. يستخدم اللاعبون غير الحارس أرجلهم غالبًا في التسديد أو تمرير الكرة ويمكنهم أيضًا استخدام رأسهم لضرب الكرة. الفريق الذي يحرز أهدافًا أكثر يكون هو الفائز. إذا أحرز الفريقان أهدافًا متعادلة في نهاية المباراة، فتكون نتيجة المباراة إما التعادل أو تدخل المباراة في نظام الوقت الإضافي و/أوالضربات الترجيحيةويعتمد ذلك على نظام البطولة. وضعالاتحاد الإنجليزي لكرة القدمقوانين لعبة كرة القدمسنة 1863 فيإنجلترا. يترأس لعبة كرة القدم دوليًّاالاتحاد الدولي لكرة القدم (الفيفا). تُنظّم بطولةكأس العالملهذه الرياضة مرة كل أربع سنوات وهي البطولة الأهم دوليًّا.تطور أسلوب لعب كرة القدم عبر التاريخ، وكذلك الضوابط والقوانين الخاصة بها، حتَّى وصلت إلى المرحلة الحالية المعروفة بكرة القدم الحديثة، التي لم تعد تركز علىالهجوموإحراز العدد الأكبر من الأهداف بقدر ما أصبحت تركز على التكتيك والمهارة، وهي تتمثل بالتنظيم العام الذي يستخدمه مدرب فريق كرة القدم لضبط تحركات الفريق داخل الملعب لتحقيق النتيجة المخطط لها.,10.0
"وُضعت قوانين كرة القدم في إنجلترا سنة 1863 واستُخدم اسم «كرة قدم الاتحاد» ليميز اللعبة عن باقي الألعاب التي كانت تحمل اسم كرة قدم أيضًا في ذلك الوقت، وخصوصًاكرة قدم الرجبي. ظهر مصطلحسوكرفي إنجلترا، وكان أول ظهور له فيثمانينات القرن التاسع عشر، اختصارًا لكلمة اتحاد بالإنجليزي وهي ""أسوسياشن"".فيعالم المتحدثين بالإنجليزية، تُستخدم كلمة كرة قدم فيالمملكة المتحدة، على حين تستخدم كلمة سوكر في الولايات المتحدة وكندا. وفي دول أخرى مثل أستراليا ونيوزلندا قد يُستخدم أحد المصطلحين أو كلاهما.",10.0
هناك نوعان من ألعاب كرة القدم وُثِّق وجودها تاريخيًّا في أوروبا وهي:إيبسكسروس،مناليونان القديمةوهارباستوم،التي ظهرت خلالالعهد الروماني. وكِلتا اللعبتين تشبهان كرة القدم التي يتجمهر عليها الناس وهي غير مسجلة، وتُلعب فيها كرة القدم بحملها باليد أكثرَ منها بركلها.وهناك العديد من المنافسات القديمة التي تقوم حول ركل كرة في عدد قليل من البلدان، مثلالتسوجوفيالصين.وهناك أيضًا ألعاب مشابهة ولكن غير تنافسية مثلالكيماريفي اليابان والووغاباليريفي أستراليا. تعتمد القوانين الحديثة لكرة القدم على الجهود التي بُذلت في وسط القرن التاسع عشر لتوحيد الأنواع المختلفة لكرة القدم التي كانت تُلعب في مدارسإنجلتراالمحلية. يعود تاريخ كرة القدم في إنجلترا إلى القرن الثامن على الأقل.,10.0
كانلقوانين كامبردجالتي وُضعت في سنة 1848 فيجامعة كامبريدج، أثر بارز في تطوير الرموز للعبة كرة القدم. وقد كُتبت قوانين كامبردج فيكلية الثالوثمن الجامعة سالفة الذكر خلال لقاء بين مندوبين من كلية أيتون ومدرسة هارو ومدرسةالرجبيومدرسة وينتشستر ومدرسة شروسبري. غير أن هذه القوانين لم تُتَبنى جامعيًّا. أثناء خمسينات القرن التاسع عشر، تشكلت العديد من النوادي غير المرتبطة بالمدارس أو الجامعات في جميع أنحاء عالم المتحدثين بالإنجليزية، للترفيه عن المنتسبين عبر لعب أشكال مختلفة من كرة القدم. بعض هذه النوادي ابتكر قوانينه الخاصة للعبة، ومن أبرزها نادي شيفيلد لكرة القدم،الذي أصبح في نهاية المطاف جزءًا من إتحاد شيفيلد وهالمشير لكرة القدم سنة 1867. ابتكر جونز تشارلز ثرينغ في عام 1862 من مدرسة آبنغهام مجموعة من القوانين المؤثرة في اللعبة.,10.0
يحدد قوانين اللعبة حاليًامجلس الاتحاد الدولي لكرة القدم.شُكِّل مجلس الاتحاد الدولي عام 1886بعد اجتماع فيمانشستربين الاتحاد الإنجليزي،والإسكتلندي،والويلزيوالأيرلندي الشمالي. أقدم منافسة كرة قدم في العالم هيبطولة كأس الاتحاد الإنجليزيالذي أوجدهتشارلز ألكوك، وقد أخذت الفرق الإنجليزية تتنافس في هذه البطولة منذ سنة 1872. وكانت أول مباراة رسمية دولية بين اسكتلندا وإنجلترا في عام 1872 فيغلاسكووكانت أيضًا بمساع من ألكوك. إنجلترا هي موطن أولدوري كرة قدمفي العالم وقد أوجد في عام 1888 فيبرمنغهامبواسطةويليام ماكغريغورمؤسس ناديأستون فيلا.تضمن التشكيل الأصلي للدوري اثنا عشر ناديًا من الأراضي الوسطى في إنجلتراوالشمال. تشكلت الفيفا وهي الهيئة الدولية لكرة القدم في باريس عام 1904 وأعلنت أنها قد تتقيد بقوانين اللعبة. أدت شعبية اللعبة العظمى إلى دخول مندوبي الفيفا في مجلس الاتحاد الدولي سنةَ 1913.يتكون المجلس حاليًا من أربعة مندوبين منالفيفاومندوب واحد من كل اتحاد بريطاني.,10.0
تُلعب كرة القدم اليوم بمستويات احترافية في جميع أنحاء العالم. وكثيرًا ما يذهب الملايين من الناس عادةً لاستادات كرة القدم لتشجيع فرقهم المفضلة،على حين يشاهد المليارات من الناس المباريات على التلفاز أو الإنترنت.هناك أيضًا عدد كبير من الناس يلعبون الكرة في مستويات مبتدئة. وفقًا لمسح أجرته الفيفا في سنة 2001، فإن هناك أكثر من 240 مليون شخص في أكثر من 200 دولة يلعبون كرة القدم.تتمتع مباريات كرة القدم بأعلى نسبة مشاهدة تلفزيونية من بين جميع الرياضات.,10.0
في العديد من الأنحاء من العالم، تستحضر كرة القدم حماسًا وتلعب دورًا مهمًّا في حياة المشجعين الأفراد والمجتمعات المحلية، والدول أيضا. يقول ر. كابوشنسكي أن الشخص المهذب والخجول في أوروبا تثار حماسته عند اللعب بكرة القدم أو مشاهدة مبارياتها.ومن أبرز الأدلة على الدور الذي تلعبه هذه الرياضة في حياة الناس والأمم الهدنة التي ساهممنتخب ساحل العاج لكرة القدمفي تأمينها خلالأحداث الحرب الأهلية العاجية الأولىفي عام 2006،ومساهمته في تخفيف حدة التوتر بين الحكومة وقوات الثوار سنةَ 2007 عبر لعب مباراة في عاصمة الثواربواكي، الأمر الذي اعتبر فرصة جمعت كلا الجيشين بسلام لأول مرة.في المقابل، كانت كرة القدم السبب المباشرلحرب كرة القدمفي يونيو 1969 بينالسلفادوروهندوراس.أثارت كرة القدم أيضًا التوتر في بدايةحرب يوغسلافياأوائلَ تسعينات القرن العشرين، عندما تحولتمباراةبيننادي دينامو زغربوريد ستار بلغرادإلى أعمال شغب في مايو 1990.,10.0
تُلعب كرة القدم وفقًا لقوانين محددة تُعرفبقوانين اللعبة. يُستخدم في اللعب كرة محيطها 71 سم وتُعرف «بكرة القدم». يتنافس فريقان في اللعبة يكون كل منهما من 11 لاعب، وعلى كل فريق أن يدخل الكرة داخل مرمى الفريق الآخر (بين القائمين وتحت العارضة) وبهذه الطريقة يُحرز هدف. الفريق الذي يُحرز أكبر عدد من الأهداف في نهاية المباراة هو الفائز. إن أحرز كلا الفريقين عدد الأهداف نفسه، أو لم يحرزا أي أهداف، حدث التعادل. يقاد كل فريقبكابتنلديه مهمة رسمية واحدة فقط كما هو منصوص عليه في قوانين اللعبة وهي: المشاركة في قرعة رمي العملة قبل بدء المباراة أوضربات الجزاء.,10.0
